B2B Sales Region,Company Name,Fiscal Period,Created Date,Close Date,Age,Stage(SFDC),Probability (%),Forecast Category,Marketing Name,Product Description,Quantity,Total Price (Local),Total Price (converted USD),Product Number,Product Line,Life Cycle Status,Last Modified Date,Deal ID,Product Group Name,Company Segmentation,Company Designation,Account Category,Account Record Type,Account Type,FY,FQ
GEM,LocalBiz071 Solutions,2024-Q3,2023-02-18,2024-10-22,270,Pipeline,73,Upside,Rally Bar,Rally Bar - Business Edition,22,41397.42,41397.42,960-100000,Line-00,Phase out,2025-04-27,006658716130QAN,Video Collaboration Group,SMB,,Territory,End Customer,Local Customer,2024,Q3
NAM,LocalBiz096 Solutions,2027-Q1,2023-04-17,2027-03-11,99,Commit,22,Pipeline,Slim Folio Pro,Slim Folio Pro - Business Edition,26,13490.57,13490.57,960-100009,Line-09,Active,2025-07-11,006486320159QAN,Headsets Group,SMB,,Territory,End Customer,Local Customer,2027,Q1
GEM,LocalBiz018 Solutions,2027-Q1,2023-05-27,2027-01-12,84,Closed Won,1,Closed,Rugged Combo 4,Rugged Combo 4 - Business Edition,92,203066.7,203066.7,960-100007,Line-07,Active,2025-09-05,006366081786QAN,Tablet Keyboards Group,SMB,Territory,Named,End Customer,Local Customer,2027,Q1
GCN,LocalBiz029 Solutions,2024-Q4,2023-11-08,2024-01-25,60,Closed Won,1,Closed,Rugged Combo 4,Rugged Combo 4 - Business Edition,12,20521.36,20521.36,960-100007,Line-07,Active,2025-01-21,006759956231QAN,Tablet Keyboards Group,SMB,Territory,Named,End Customer,Local Customer,2024,Q4
GCN,GlobalCorp027 Industries,2024-Q4,2023-09-14,2024-12-21,273,Pipeline,18,Commit,Rugged Combo 4,Rugged Combo 4 - Business Edition,60,174249.49,174249.49,960-100007,Line-07,Active,2025-12-22,006452064501QAN,Tablet Keyboards Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2024,Q4
EAD,LocalBiz088 Solutions,2024-Q3,2023-01-06,2024-02-18,392,Closed Won,1,Closed,MX Master 3S,MX Master 3S - Business Edition,32,63619.28,63619.28,960-100005,Line-05,Active,2025-03-24,006726730536QAN,VC Services Group,SMB,,Named,End Customer,Local Customer,2024,Q3
EAD,LocalBiz047 Solutions,2025-Q4,2023-02-01,2026-01-10,289,Pipeline,86,Commit,Rugged Combo 4,Rugged Combo 4 - Business Edition,160,452264.1,452264.1,960-100007,Line-07,Active,2025-04-26,006731030677QAN,Tablet Keyboards Group,Enterprise,Territory,Named,End Customer,Local Customer,2025,Q4
GEM,LocalBiz037 Solutions,2026-Q4,2023-03-27,2027-02-10,390,Pipeline,18,Commit,Zone Wireless Plus,Zone Wireless Plus - Business Edition,172,61657.72,61657.72,960-100006,Line-06,Active,2025-09-18,006895435723QAN,VC Headsets Group,SMB,,Territory,End Customer,Local Customer,2026,Q4
NAM,LocalBiz043 Solutions,2025-Q2,2023-10-03,2025-11-07,127,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,132,239257.1,239257.1,960-100003,Line-03,Active,2025-10-14,006450598090QAN,Tablet Keyboards Education Group,SMB,Territory,Territory,End Customer,Local Customer,2025,Q2
EAD,LocalBiz089 Solutions,2027-Q2,2023-08-23,2027-03-26,309,Closed Won,1,Closed,Tap Controller,Tap Controller - Business Edition,55,79037.13,79037.13,960-100002,Line-02,Active,2025-03-12,006337784657QAN,Webcams Group,SMB,,Territory,End Customer,Local Customer,2027,Q2
GEM,GlobalCorp018 Industries,2025-Q1,2023-06-15,2025-08-09,353,Closed Won,1,Closed,Tap Controller,Tap Controller - Business Edition,156,99629.44,99629.44,960-100002,Line-02,Active,2025-01-21,006812566713QAN,Webcams Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2025,Q1
GCN,GlobalCorp024 Industries,2025-Q2,2023-09-04,2026-12-20,250,Pipeline,75,Upside,Rugged Combo 4,Rugged Combo 4 - Business Edition,50,130387.15,130387.15,960-100007,Line-07,EOM,2025-06-07,006215224489QAN,Tablet Keyboards Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2025,Q2
NAM,LocalBiz086 Solutions,2027-Q2,2023-08-04,2027-02-08,240,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,143,106618.89,106618.89,960-100004,Line-04,Active,2025-10-12,006627630861QAN,Pointing Devices Group,SMB,Territory,Territory,End Customer,Local Customer,2027,Q2
EAD,GlobalCorp002 Industries,2026-Q1,2023-08-07,2026-06-13,84,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,62,20913.25,20913.25,960-100008,Line-08,Active,2025-06-17,006705940602QAN,Gaming PC Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q1
GEM,LocalBiz092 Solutions,2025-Q1,2023-11-10,2025-01-08,195,Pipeline,23,Commit,Rugged Combo 4,Rugged Combo 4 - Business Edition,164,477399.42,477399.42,960-100007,Line-07,Active,2025-12-09,006876905984QAN,Tablet Keyboards Group,SMB,Territory,Named,End Customer,Local Customer,2025,Q1
EAD,GlobalCorp020 Industries,2026-Q2,2023-05-12,2026-09-22,165,Pipeline,58,Pipeline,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,28,4429.06,4429.06,960-100003,Line-03,Active,2025-08-15,006607971278QAN,Tablet Keyboards Education Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2026,Q2
EAD,LocalBiz079 Solutions,2025-Q2,2023-07-03,2025-02-09,198,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,20,4050.11,4050.11,960-100004,Line-04,Active,2025-11-05,006543708576QAN,Pointing Devices Group,Enterprise,Named,Named,End Customer,Local Customer,2025,Q2
GEM,LocalBiz022 Solutions,2025-Q2,2023-08-15,2026-11-11,178,Need Assessment,32,Commit,MeetUp,MeetUp - Business Edition,50,146031.92,146031.92,960-100001,Line-01,Active,2025-04-16,006915269809QAN,PC Keyboards & Combos Group,SMB,Territory,Territory,End Customer,Local Customer,2025,Q2
EAD,LocalBiz095 Solutions,2025-Q3,2023-07-23,2025-08-06,218,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,86,69071.27,69071.27,960-100004,Line-04,Active,2025-02-18,006606150032QAN,Pointing Devices Group,Enterprise,Territory,Territory,End Customer,Local Customer,2025,Q3
GEM,GlobalCorp008 Industries,2026-Q2,2023-05-16,2026-08-25,69,Pipeline,71,Commit,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,33,60119.34,60119.34,960-100003,Line-03,Obsolete,2025-06-09,006600100256QAN,Tablet Keyboards Education Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q2
NAM,LocalBiz060 Solutions,2026-Q3,2023-04-06,2026-09-11,19,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,98,121736.97,121736.97,960-100003,Line-03,Active,2025-02-13,006305358056QAN,Tablet Keyboards Education Group,SMB,Named,Named,End Customer,Local Customer,2026,Q3
NAM,LocalBiz054 Solutions,2024-Q3,2023-07-15,2024-06-07,316,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,143,273003.56,273003.56,960-100008,Line-08,Active,2025-01-17,006296223711QAN,Gaming PC Group,Enterprise,,Named,End Customer,Local Customer,2024,Q3
GEM,LocalBiz006 Solutions,2026-Q4,2023-05-26,2026-08-14,328,Closed Won,1,Closed,Slim Folio Pro,Slim Folio Pro - Business Edition,194,274957.64,274957.64,960-100009,Line-09,Active,2025-06-21,006373874140QAN,Headsets Group,SMB,Territory,Territory,End Customer,Local Customer,2026,Q4
GEM,GlobalCorp025 Industries,2027-Q2,2023-06-14,2027-05-15,364,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,15,18200.67,18200.67,960-100003,Line-03,Phase out,2025-05-23,006876796778QAN,Tablet Keyboards Education Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2027,Q2
GEM,LocalBiz051 Solutions,2027-Q2,2023-02-14,2028-11-19,381,Upside,77,Pipeline,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,21,30735.4,30735.4,960-100003,Line-03,Active,2025-11-15,006238556571QAN,Tablet Keyboards Education Group,Enterprise,Named,Named,End Customer,Local Customer,2027,Q2
GEM,GlobalCorp008 Industries,2026-Q4,2023-07-12,2027-02-17,74,Pipeline,48,Pipeline,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,90,36860.76,36860.76,960-100003,Line-03,Active,2025-08-17,006389103785QAN,Tablet Keyboards Education Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q4
GEM,LocalBiz013 Solutions,2026-Q1,2023-06-22,2027-08-13,277,Commit,18,Commit,Slim Folio Pro,Slim Folio Pro - Business Edition,47,134262.07,134262.07,960-100009,Line-09,Active,2025-10-24,006791612025QAN,Headsets Group,SMB,Territory,Named,End Customer,Local Customer,2026,Q1
GEM,LocalBiz096 Solutions,2026-Q4,2023-10-25,2026-04-18,146,Closed Won,1,Closed,Rugged Combo 4,Rugged Combo 4 - Business Edition,19,48658.32,48658.32,960-100007,Line-07,Active,2025-10-01,006847087286QAN,Tablet Keyboards Group,SMB,Named,Territory,End Customer,Local Customer,2026,Q4
GEM,LocalBiz040 Solutions,2025-Q1,2023-03-07,2025-07-21,160,Commit,20,Commit,Rally Bar,Rally Bar - Business Edition,150,17960.07,17960.07,960-100000,Line-00,Active,2025-09-25,006205399615QAN,Video Collaboration Group,Enterprise,Named,Named,End Customer,Local Customer,2025,Q1
GEM,GlobalCorp007 Industries,2025-Q3,2023-04-26,2026-06-07,102,Pipeline,51,Upside,Combo Touch,Combo Touch - Business Edition,24,10290.32,10290.32,960-100008,Line-08,Active,2025-04-08,006724015076QAN,Gaming PC Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2025,Q3
GCN,LocalBiz007 Solutions,2026-Q2,2023-02-05,2026-06-09,27,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,196,265601.43,265601.43,960-100006,Line-06,Active,2025-08-06,006498624455QAN,VC Headsets Group,Enterprise,Named,Territory,End Customer,Local Customer,2026,Q2
EAD,LocalBiz038 Solutions,2026-Q4,2023-03-02,2026-06-02,286,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,172,344417.2,344417.2,960-100006,Line-06,Active,2025-06-12,006481253049QAN,VC Headsets Group,SMB,Named,Territory,End Customer,Local Customer,2026,Q4
GCN,LocalBiz040 Solutions,2026-Q3,2023-12-08,2026-10-25,3,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,144,7725.34,7725.34,960-100006,Line-06,EOM,2025-07-19,006754621799QAN,VC Headsets Group,Enterprise,Named,Territory,End Customer,Local Customer,2026,Q3
NAM,GlobalCorp005 Industries,2025-Q2,2023-08-07,2026-01-25,288,Upside,42,Pipeline,MX Keys for Business,MX Keys for Business - Business Edition,84,158724.53,158724.53,960-100004,Line-04,Active,2025-06-20,006996551649QAN,Pointing Devices Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2025,Q2
GEM,GlobalCorp014 Industries,2025-Q2,2023-09-09,2025-02-13,331,Closed Won,1,Closed,MeetUp,MeetUp - Business Edition,105,32397.34,32397.34,960-100001,Line-01,Active,2025-07-26,006532049347QAN,PC Keyboards & Combos Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2025,Q2
NAM,LocalBiz026 Solutions,2025-Q4,2023-06-18,2025-06-05,291,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,12,33543.07,33543.07,960-100003,Line-03,Active,2025-10-14,006340197765QAN,Tablet Keyboards Education Group,SMB,,Named,End Customer,Local Customer,2025,Q4
GCN,LocalBiz051 Solutions,2026-Q3,2023-02-10,2026-03-02,25,Closed Won,1,Closed,MeetUp,MeetUp - Business Edition,163,174572.05,174572.05,960-100001,Line-01,Active,2025-06-01,006841986467QAN,PC Keyboards & Combos Group,Enterprise,Territory,Named,End Customer,Local Customer,2026,Q3
EAD,GlobalCorp014 Industries,2024-Q3,2023-05-02,2025-04-03,392,Pipeline,30,Commit,Tap Controller,Tap Controller - Business Edition,169,419853.84,419853.84,960-100002,Line-02,Active,2025-04-13,006312727739QAN,Webcams Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2024,Q3
GEM,LocalBiz003 Solutions,2025-Q2,2023-03-05,2025-12-06,266,Closed Won,1,Closed,MeetUp,MeetUp - Business Edition,60,67569.28,67569.28,960-100001,Line-01,Active,2025-11-18,006348165628QAN,PC Keyboards & Combos Group,SMB,Named,Named,End Customer,Local Customer,2025,Q2
GEM,LocalBiz027 Solutions,2026-Q1,2023-07-16,2026-03-21,252,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,156,147367.22,147367.22,960-100008,Line-08,Active,2025-04-07,006374750224QAN,Gaming PC Group,Enterprise,Named,Named,End Customer,Local Customer,2026,Q1
GCN,LocalBiz074 Solutions,2025-Q2,2023-03-07,2026-07-18,155,Pipeline,23,Upside,MX Keys for Business,MX Keys for Business - Business Edition,116,144322.02,144322.02,960-100004,Line-04,Active,2025-06-05,006147378941QAN,Pointing Devices Group,SMB,Named,Named,End Customer,Local Customer,2025,Q2
GCN,GlobalCorp002 Industries,2027-Q1,2023-07-05,2027-06-15,65,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,138,284124.85,284124.85,960-100004,Line-04,Active,2025-10-18,006655334124QAN,Pointing Devices Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2027,Q1
EAD,LocalBiz024 Solutions,2025-Q2,2023-10-04,2025-01-11,34,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,52,43407.36,43407.36,960-100004,Line-04,Active,2025-12-18,006360644066QAN,Pointing Devices Group,SMB,Named,Named,End Customer,Local Customer,2025,Q2
GCN,LocalBiz064 Solutions,2025-Q4,2023-09-09,2025-10-13,129,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,105,36890.82,36890.82,960-100000,Line-00,Active,2025-01-10,006874463729QAN,Video Collaboration Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q4
GCN,LocalBiz099 Solutions,2027-Q2,2023-07-24,2028-08-27,173,Pipeline,78,Pipeline,MX Master 3S,MX Master 3S - Business Edition,177,329415.42,329415.42,960-100005,Line-05,Active,2025-08-13,006263302599QAN,VC Services Group,SMB,Named,Named,End Customer,Local Customer,2027,Q2
NAM,LocalBiz058 Solutions,2025-Q1,2023-04-11,2025-08-17,399,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,148,329396.15,329396.15,960-100004,Line-04,Phase out,2025-03-19,006847793898QAN,Pointing Devices Group,Enterprise,Named,Territory,End Customer,Local Customer,2025,Q1
GCN,GlobalCorp005 Industries,2025-Q3,2023-01-08,2026-08-10,256,Pipeline,34,Pipeline,MX Master 3S,MX Master 3S - Business Edition,111,32457.11,32457.11,960-100005,Line-05,Active,2025-02-03,006621350704QAN,VC Services Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2025,Q3
GEM,LocalBiz097 Solutions,2026-Q3,2023-08-02,2027-07-18,374,Pipeline,22,Pipeline,Slim Folio Pro,Slim Folio Pro - Business Edition,149,62496.42,62496.42,960-100009,Line-09,EOM,2025-12-02,006650167050QAN,Headsets Group,SMB,Territory,Territory,End Customer,Local Customer,2026,Q3
NAM,GlobalCorp015 Industries,2024-Q3,2023-09-18,2024-09-25,278,Upside,39,Pipeline,Rugged Combo 4,Rugged Combo 4 - Business Edition,59,98693.5,98693.5,960-100007,Line-07,Active,2025-03-14,006154610032QAN,Tablet Keyboards Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2024,Q3
NAM,GlobalCorp021 Industries,2025-Q1,2023-05-13,2026-07-07,149,Pipeline,17,Commit,Rally Bar,Rally Bar - Business Edition,12,33130.0,33130.0,960-100000,Line-00,Active,2025-07-23,006770709995QAN,Video Collaboration Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2025,Q1
GEM,LocalBiz046 Solutions,2025-Q4,2023-04-27,2026-12-13,50,Need Assessment,88,Upside,MeetUp,MeetUp - Business Edition,2,877.2,877.2,960-100001,Line-01,Active,2025-12-13,006801868309QAN,PC Keyboards & Combos Group,SMB,Territory,Named,End Customer,Local Customer,2025,Q4
GCN,LocalBiz008 Solutions,2026-Q2,2023-05-15,2027-03-23,136,Pipeline,67,Pipeline,Zone Wireless Plus,Zone Wireless Plus - Business Edition,108,208122.43,208122.43,960-100006,Line-06,Active,2025-03-01,006219838595QAN,VC Headsets Group,Enterprise,Named,Territory,End Customer,Local Customer,2026,Q2
GCN,LocalBiz070 Solutions,2024-Q4,2023-09-20,2024-10-21,86,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,155,322285.01,322285.01,960-100006,Line-06,Active,2025-10-22,006455109899QAN,VC Headsets Group,SMB,Territory,Named,End Customer,Local Customer,2024,Q4
EAD,LocalBiz049 Solutions,2024-Q4,2023-10-04,2025-11-16,111,Pipeline,13,Commit,Tap Controller,Tap Controller - Business Edition,70,184528.38,184528.38,960-100002,Line-02,LTS,2025-03-26,006707848228QAN,Webcams Group,SMB,Named,Territory,End Customer,Local Customer,2024,Q4
GCN,LocalBiz056 Solutions,2025-Q3,2023-03-24,2025-04-25,229,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,17,30348.34,30348.34,960-100003,Line-03,Active,2025-07-20,006360533123QAN,Tablet Keyboards Education Group,SMB,,Territory,End Customer,Local Customer,2025,Q3
NAM,LocalBiz097 Solutions,2024-Q4,2023-08-13,2025-12-19,76,Pipeline,39,Commit,Rally Bar,Rally Bar - Business Edition,63,17471.28,17471.28,960-100000,Line-00,Active,2025-04-19,006916898479QAN,Video Collaboration Group,SMB,Territory,Named,End Customer,Local Customer,2024,Q4
GCN,LocalBiz071 Solutions,2024-Q3,2023-06-13,2024-02-20,161,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,47,140770.88,140770.88,960-100000,Line-00,Active,2025-04-20,006253122543QAN,Video Collaboration Group,SMB,,Named,End Customer,Local Customer,2024,Q3
GEM,LocalBiz062 Solutions,2027-Q2,2023-11-17,2027-09-26,350,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,61,179337.43,179337.43,960-100004,Line-04,Active,2025-06-17,006871448826QAN,Pointing Devices Group,Enterprise,Territory,Named,End Customer,Local Customer,2027,Q2
GCN,LocalBiz022 Solutions,2026-Q4,2023-05-04,2027-03-05,70,Commit,13,Commit,MX Keys for Business,MX Keys for Business - Business Edition,49,65355.33,65355.33,960-100004,Line-04,Active,2025-02-03,006902517632QAN,Pointing Devices Group,Enterprise,,Territory,End Customer,Local Customer,2026,Q4
EAD,LocalBiz028 Solutions,2026-Q3,2023-04-21,2026-12-12,364,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,31,85923.88,85923.88,960-100008,Line-08,Active,2025-06-07,006210004150QAN,Gaming PC Group,SMB,Territory,Territory,End Customer,Local Customer,2026,Q3
EAD,GlobalCorp014 Industries,2026-Q2,2023-04-24,2027-06-10,107,Need Assessment,66,Pipeline,Combo Touch,Combo Touch - Business Edition,70,16998.11,16998.11,960-100008,Line-08,Active,2025-01-27,006518086406QAN,Gaming PC Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2026,Q2
GCN,LocalBiz098 Solutions,2026-Q2,2023-08-14,2026-08-15,313,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,149,30419.95,30419.95,960-100006,Line-06,Active,2025-05-18,006722620228QAN,VC Headsets Group,Enterprise,Territory,Named,End Customer,Local Customer,2026,Q2
EAD,LocalBiz058 Solutions,2026-Q2,2023-09-01,2026-03-25,178,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,128,371673.69,371673.69,960-100004,Line-04,Active,2025-10-25,006532142662QAN,Pointing Devices Group,SMB,Named,Territory,End Customer,Local Customer,2026,Q2
EAD,LocalBiz090 Solutions,2026-Q2,2023-02-06,2026-02-26,198,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,167,357064.96,357064.96,960-100008,Line-08,Active,2025-10-21,006705416964QAN,Gaming PC Group,Enterprise,Named,Territory,End Customer,Local Customer,2026,Q2
GCN,GlobalCorp022 Industries,2026-Q3,2023-06-27,2027-03-07,138,Pipeline,73,Upside,MX Master 3S,MX Master 3S - Business Edition,76,17761.63,17761.63,960-100005,Line-05,Active,2025-07-21,006807408403QAN,VC Services Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2026,Q3
GCN,LocalBiz098 Solutions,2025-Q2,2023-11-09,2025-08-08,168,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,79,208936.55,208936.55,960-100004,Line-04,Obsolete,2025-10-17,006216683198QAN,Pointing Devices Group,SMB,Territory,Territory,End Customer,Local Customer,2025,Q2
NAM,GlobalCorp025 Industries,2026-Q2,2023-07-20,2026-08-12,279,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,42,63778.97,63778.97,960-100000,Line-00,Active,2025-02-11,006210002066QAN,Video Collaboration Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q2
EAD,LocalBiz022 Solutions,2026-Q2,2023-08-18,2026-12-09,42,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,85,82571.54,82571.54,960-100003,Line-03,Active,2025-06-12,006813111937QAN,Tablet Keyboards Education Group,Enterprise,Territory,Named,End Customer,Local Customer,2026,Q2
GCN,LocalBiz051 Solutions,2025-Q1,2023-05-16,2025-08-06,107,Commit,13,Commit,Rally Bar,Rally Bar - Business Edition,129,19154.13,19154.13,960-100000,Line-00,Active,2025-06-19,006668723999QAN,Video Collaboration Group,Enterprise,Named,Named,End Customer,Local Customer,2025,Q1
NAM,GlobalCorp012 Industries,2027-Q1,2023-04-06,2027-01-13,223,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,21,45975.24,45975.24,960-100006,Line-06,Active,2025-11-05,006356648728QAN,VC Headsets Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2027,Q1
NAM,LocalBiz068 Solutions,2025-Q2,2023-03-12,2026-05-03,377,Commit,20,Commit,Combo Touch,Combo Touch - Business Edition,116,320010.78,320010.78,960-100008,Line-08,Active,2025-12-09,006562990036QAN,Gaming PC Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q2
NAM,LocalBiz069 Solutions,2027-Q2,2023-01-21,2027-10-16,163,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,156,387915.17,387915.17,960-100004,Line-04,Active,2025-09-19,006960500910QAN,Pointing Devices Group,SMB,,Territory,End Customer,Local Customer,2027,Q2
GCN,LocalBiz029 Solutions,2026-Q1,2023-02-02,2027-01-05,248,Pipeline,37,Upside,Tap Controller,Tap Controller - Business Edition,33,13941.87,13941.87,960-100002,Line-02,Active,2025-09-20,006473838791QAN,Webcams Group,Enterprise,Named,Named,End Customer,Local Customer,2026,Q1
NAM,LocalBiz058 Solutions,2025-Q1,2023-04-14,2025-06-15,39,Pipeline,18,Upside,MX Keys for Business,MX Keys for Business - Business Edition,57,53958.59,53958.59,960-100004,Line-04,Active,2025-02-19,006775147488QAN,Pointing Devices Group,SMB,,Territory,End Customer,Local Customer,2025,Q1
GCN,LocalBiz094 Solutions,2027-Q1,2023-03-19,2027-08-14,30,Closed Won,1,Closed,MX Master 3S,MX Master 3S - Business Edition,142,369265.7,369265.7,960-100005,Line-05,Active,2025-11-20,006177309808QAN,VC Services Group,Enterprise,,Named,End Customer,Local Customer,2027,Q1
EAD,LocalBiz011 Solutions,2026-Q4,2023-12-20,2027-09-19,173,Need Assessment,80,Commit,Tap Controller,Tap Controller - Business Edition,131,297918.58,297918.58,960-100002,Line-02,Active,2025-11-23,006240341880QAN,Webcams Group,SMB,Territory,Territory,End Customer,Local Customer,2026,Q4
EAD,GlobalCorp019 Industries,2025-Q2,2023-01-24,2025-06-21,308,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,168,138899.3,138899.3,960-100003,Line-03,Active,2025-11-21,006302884834QAN,Tablet Keyboards Education Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2025,Q2
NAM,LocalBiz030 Solutions,2026-Q3,2023-09-24,2026-04-08,127,Closed Won,1,Closed,MeetUp,MeetUp - Business Edition,105,107593.88,107593.88,960-100001,Line-01,Active,2025-01-16,006248907677QAN,PC Keyboards & Combos Group,SMB,Territory,Territory,End Customer,Local Customer,2026,Q3
EAD,LocalBiz006 Solutions,2024-Q4,2023-05-09,2024-05-05,393,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,101,183515.65,183515.65,960-100003,Line-03,Active,2025-01-02,006653960151QAN,Tablet Keyboards Education Group,Enterprise,Territory,Territory,End Customer,Local Customer,2024,Q4
EAD,LocalBiz036 Solutions,2026-Q1,2023-06-08,2026-12-22,21,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,147,394392.72,394392.72,960-100008,Line-08,Active,2025-04-25,006970305436QAN,Gaming PC Group,SMB,Named,Named,End Customer,Local Customer,2026,Q1
NAM,GlobalCorp004 Industries,2026-Q1,2023-12-02,2026-12-04,162,Closed Won,1,Closed,MX Master 3S,MX Master 3S - Business Edition,76,113134.96,113134.96,960-100005,Line-05,Active,2025-09-01,006181428039QAN,VC Services Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q1
GCN,LocalBiz009 Solutions,2026-Q3,2023-10-01,2026-12-06,93,Closed Won,1,Closed,Slim Folio Pro,Slim Folio Pro - Business Edition,27,12502.92,12502.92,960-100009,Line-09,Active,2025-03-08,006575796770QAN,Headsets Group,SMB,Territory,Territory,End Customer,Local Customer,2026,Q3
GEM,LocalBiz080 Solutions,2025-Q4,2023-05-21,2025-08-11,192,Commit,71,Commit,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,124,110419.35,110419.35,960-100003,Line-03,Active,2025-09-09,006386397783QAN,Tablet Keyboards Education Group,SMB,Named,Named,End Customer,Local Customer,2025,Q4
GCN,LocalBiz020 Solutions,2026-Q2,2023-11-14,2026-11-07,147,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,41,5638.37,5638.37,960-100006,Line-06,Active,2025-01-08,006837996395QAN,VC Headsets Group,Enterprise,Named,Named,End Customer,Local Customer,2026,Q2
EAD,LocalBiz047 Solutions,2025-Q3,2023-08-25,2025-01-13,347,Closed Won,1,Closed,Slim Folio Pro,Slim Folio Pro - Business Edition,103,295032.97,295032.97,960-100009,Line-09,Active,2025-07-17,006545798062QAN,Headsets Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q3
GCN,LocalBiz053 Solutions,2025-Q2,2023-04-17,2025-04-18,225,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,147,265944.83,265944.83,960-100004,Line-04,Active,2025-03-15,006923455654QAN,Pointing Devices Group,SMB,Territory,Territory,End Customer,Local Customer,2025,Q2
NAM,LocalBiz034 Solutions,2026-Q4,2023-09-25,2026-11-13,39,Closed Won,1,Closed,Slim Folio Pro,Slim Folio Pro - Business Edition,142,273560.63,273560.63,960-100009,Line-09,LTS,2025-04-06,006617794458QAN,Headsets Group,Enterprise,Named,Named,End Customer,Local Customer,2026,Q4
GEM,GlobalCorp002 Industries,2025-Q4,2023-11-01,2026-08-02,311,Commit,54,Upside,Rally Bar,Rally Bar - Business Edition,169,218855.18,218855.18,960-100000,Line-00,Active,2025-05-17,006500150750QAN,Video Collaboration Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2025,Q4
